animal,resSaveIndex,band,binNumber,binStartUs,binEndUs,binMidMinutesFromRun1Start,validSecondsInBin,burstCount,burstRatePerMinute
ANM204878,6,beta_13_30Hz,6,7804900000,7864900000,5.5,27.0187315196447,2,4.44136320436622
ANM204878,6,beta_13_30Hz,7,7864900000,7924900000,6.5,52.7580979193063,4,4.54906468324694
ANM204878,6,beta_13_30Hz,8,7924900000,7984900000,7.5,48.0167423993686,1,1.2495641520402
ANM204878,6,beta_13_30Hz,9,7984900000,8044900000,8.5,53.7434726392933,1,1.11641464634595
ANM204878,6,beta_13_30Hz,10,8044900000,8104900000,9.5,47.8454169593709,1,1.25403860626715
ANM204878,6,beta_13_30Hz,11,8104900000,8164900000,10.5,33.0130943995659,3,5.45238194945963
ANM204878,6,beta_13_30Hz,12,8164900000,8224900000,11.5,30.3367679996011,1,1.97779803045562
ANM204878,6,beta_13_30Hz,13,8224900000,8284900000,12.5,24.7803494396742,2,4.8425467240537
ANM204878,6,beta_13_30Hz,14,8284900000,8344900000,13.5,24.3413913596799,1,2.46493715636101
ANM204878,6,beta_13_30Hz,15,8344900000,8404900000,14.5,48.6554111993602,6,7.39897148386927
ANM204878,6,beta_13_30Hz,16,8404900000,8464900000,15.5,52.169103359314,2,2.30021204645787
ANM204878,6,beta_13_30Hz,17,8464900000,8524900000,16.5,41.3188300794567,3,4.35636729437541
ANM204878,6,beta_13_30Hz,18,8524900000,8584900000,17.5,50.6048716793346,1,1.18565659804849
ANM204878,6,beta_13_30Hz,19,8584900000,8644900000,18.5,48.2073292793661,2,2.48924804161186
ANM204878,6,beta_13_30Hz,20,8644900000,8704900000,19.5,44.7047884794122,0,0
ANM204878,6,beta_13_30Hz,21,8704900000,8764900000,20.5,43.8370099194236,4,5.47482596192445
ANM204878,6,beta_13_30Hz,22,8764900000,8824900000,21.5,34.8479999995418,1,1.72176308542209
ANM204878,6,beta_13_30Hz,23,8824900000,8884900000,22.5,25.4575411196653,0,0
ANM204878,6,beta_13_30Hz,24,8884900000,8944900000,23.5,23.1674572796954,1,2.58983967362641
ANM204878,6,beta_13_30Hz,25,8944900000,9004900000,24.5,4.53961727994031,0,0
ANM204878,6,beta_13_30Hz,26,9004900000,9064900000,25.5,10.2845951998648,0,0
ANM204878,6,beta_13_30Hz,27,9064900000,9124900000,26.5,8.09284607989359,1,7.4139554129255
ANM204878,6,beta_13_30Hz,28,9124900000,9184900000,27.5,5.01101567993411,0,0
ANM204878,6,beta_13_30Hz,29,9184900000,9244900000,28.5,38.936494079488,4,6.16388315573675
ANM204878,6,beta_13_30Hz,30,9244900000,9304900000,29.5,52.4833689593099,6,6.85931576303926
ANM204878,6,beta_13_30Hz,31,9304900000,9364900000,30.5,46.4302079993895,6,7.75357284646956
ANM204878,6,beta_13_30Hz,32,9364900000,9424900000,31.5,41.9747327994481,0,0
ANM204878,6,beta_13_30Hz,33,9424900000,9484900000,32.5,56.3822899192586,3,3.19249183134928
ANM204878,6,beta_13_30Hz,34,9484900000,9544900000,33.5,43.3159372794304,5,6.92585729046343
ANM204878,6,beta_13_30Hz,35,9544900000,9604900000,34.5,53.3562163192984,1,1.12451751902615
ANM204878,6,beta_13_30Hz,36,9604900000,9664900000,35.5,44.6611967994128,3,4.03034430108167
ANM204878,6,beta_13_30Hz,37,9664900000,9724900000,36.5,40.153006079472,2,2.98856827213615
ANM204878,6,beta_13_30Hz,38,9724900000,9784900000,37.5,52.8645427193049,1,1.13497624142107
ANM204878,6,beta_13_30Hz,39,9784900000,9844900000,38.5,48.4830719993625,2,2.47509068735533
ANM204878,6,beta_13_30Hz,40,9844900000,9904900000,39.5,50.7863347193322,2,2.36284033221088
ANM204878,6,beta_13_30Hz,41,9904900000,9964900000,40.5,44.6764031994126,2,2.68598166831787
ANM204878,6,beta_13_30Hz,42,9964900000,10024900000,41.5,38.9050675194884,1,1.54221554736911
ANM204878,6,beta_13_30Hz,43,10024900000,10084900000,42.5,52.2147225593134,1,1.14910119328591
ANM204878,6,beta_13_30Hz,44,10084900000,10144900000,43.5,45.9912499193953,2,2.60919197043597
ANM204878,6,beta_13_30Hz,45,10144900000,10204900000,44.5,40.8808857594625,2,2.93535714235899
ANM204878,6,beta_13_30Hz,46,10204900000,10264900000,45.5,48.5834342393612,2,2.4699777172767
ANM204878,6,beta_13_30Hz,47,10264900000,10324900000,46.5,49.0578739193549,1,1.2230452566826
ANM204878,6,beta_13_30Hz,48,10324900000,10384900000,47.5,43.3656115194298,4,5.53433911320422
ANM204878,6,beta_13_30Hz,49,10384900000,10444900000,48.5,48.4506316793629,4,4.95349578903892
ANM204878,6,beta_13_30Hz,50,10444900000,10504900000,49.5,43.1071027194332,2,2.78376398388525
ANM204878,6,beta_13_30Hz,51,10504900000,10547000000,50.3508333333333,24.8989593596726,1,2.40973926392998
ANM204878,6,beta2_23_30Hz,1,7504900000,7564900000,0.5,36.7021670395174,6,9.80868512783962
ANM204878,6,beta2_23_30Hz,2,7564900000,7624900000,1.5,42.1450444794458,7,9.96558445216102
ANM204878,6,beta2_23_30Hz,3,7624900000,7684900000,2.5,40.4145561594686,16,23.7538177138953
ANM204878,6,beta2_23_30Hz,4,7684900000,7744900000,3.5,40.6233907194658,8,11.8158526774574
ANM204878,6,beta2_23_30Hz,5,7744900000,7804900000,4.5,29.0340863996182,11,22.7319017693864
ANM204878,6,beta2_23_30Hz,6,7804900000,7864900000,5.5,27.0187315196447,10,22.2068160218311
ANM204878,6,beta2_23_30Hz,7,7864900000,7924900000,6.5,52.7580979193063,14,15.9217263913643
ANM204878,6,beta2_23_30Hz,8,7924900000,7984900000,7.5,48.0167423993686,18,22.4921547367237
ANM204878,6,beta2_23_30Hz,9,7984900000,8044900000,8.5,53.7434726392933,16,17.8626343415352
ANM204878,6,beta2_23_30Hz,10,8044900000,8104900000,9.5,47.8454169593709,13,16.3025018814729
ANM204878,6,beta2_23_30Hz,11,8104900000,8164900000,10.5,33.0130943995659,13,23.6269884476584
ANM204878,6,beta2_23_30Hz,12,8164900000,8224900000,11.5,30.3367679996011,14,27.6891724263786
ANM204878,6,beta2_23_30Hz,13,8224900000,8284900000,12.5,24.7803494396742,8,19.3701868962148
ANM204878,6,beta2_23_30Hz,14,8284900000,8344900000,13.5,24.3413913596799,3,7.39481146908304
ANM204878,6,beta2_23_30Hz,15,8344900000,8404900000,14.5,48.6554111993602,31,38.2280193333246
ANM204878,6,beta2_23_30Hz,16,8404900000,8464900000,15.5,52.169103359314,11,12.6511662555183
ANM204878,6,beta2_23_30Hz,17,8464900000,8524900000,16.5,41.3188300794567,18,26.1382037662524
ANM204878,6,beta2_23_30Hz,18,8524900000,8584900000,17.5,50.6048716793346,10,11.8565659804849
ANM204878,6,beta2_23_30Hz,19,8584900000,8644900000,18.5,48.2073292793661,16,19.9139843328948
ANM204878,6,beta2_23_30Hz,20,8644900000,8704900000,19.5,44.7047884794122,16,21.4742096462912
ANM204878,6,beta2_23_30Hz,21,8704900000,8764900000,20.5,43.8370099194236,24,32.8489557715467
ANM204878,6,beta2_23_30Hz,22,8764900000,8824900000,21.5,34.8479999995418,6,10.3305785125325
ANM204878,6,beta2_23_30Hz,23,8824900000,8884900000,22.5,25.4575411196653,4,9.42746194032881
ANM204878,6,beta2_23_30Hz,24,8884900000,8944900000,23.5,23.1674572796954,3,7.76951902087922
ANM204878,6,beta2_23_30Hz,25,8944900000,9004900000,24.5,4.53961727994031,1,13.2169732160304
ANM204878,6,beta2_23_30Hz,26,9004900000,9064900000,25.5,10.2845951998648,3,17.5019042074079
ANM204878,6,beta2_23_30Hz,27,9064900000,9124900000,26.5,8.09284607989359,4,29.655821651702
ANM204878,6,beta2_23_30Hz,28,9124900000,9184900000,27.5,5.01101567993411,2,23.9472409716303
ANM204878,6,beta2_23_30Hz,29,9184900000,9244900000,28.5,38.936494079488,22,33.9013573565521
ANM204878,6,beta2_23_30Hz,30,9244900000,9304900000,29.5,52.4833689593099,33,37.726236696716
ANM204878,6,beta2_23_30Hz,31,9304900000,9364900000,30.5,46.4302079993895,26,33.5988156680347
ANM204878,6,beta2_23_30Hz,32,9364900000,9424900000,31.5,41.9747327994481,16,22.8709019920818
ANM204878,6,beta2_23_30Hz,33,9424900000,9484900000,32.5,56.3822899192586,19,20.2191149318788
ANM204878,6,beta2_23_30Hz,34,9484900000,9544900000,33.5,43.3159372794304,18,24.9330862456683
ANM204878,6,beta2_23_30Hz,35,9544900000,9604900000,34.5,53.3562163192984,25,28.1129379756537
ANM204878,6,beta2_23_30Hz,36,9604900000,9664900000,35.5,44.6611967994128,18,24.18206580649
ANM204878,6,beta2_23_30Hz,37,9664900000,9724900000,36.5,40.153006079472,10,14.9428413606807
ANM204878,6,beta2_23_30Hz,38,9724900000,9784900000,37.5,52.8645427193049,12,13.6197148970528
ANM204878,6,beta2_23_30Hz,39,9784900000,9844900000,38.5,48.4830719993625,8,9.90036274942131
ANM204878,6,beta2_23_30Hz,40,9844900000,9904900000,39.5,50.7863347193322,9,10.632781494949
ANM204878,6,beta2_23_30Hz,41,9904900000,9964900000,40.5,44.6764031994126,14,18.8018716782251
ANM204878,6,beta2_23_30Hz,42,9964900000,10024900000,41.5,38.9050675194884,20,30.8443109473822
ANM204878,6,beta2_23_30Hz,43,10024900000,10084900000,42.5,52.2147225593134,20,22.9820238657183
ANM204878,6,beta2_23_30Hz,44,10084900000,10144900000,43.5,45.9912499193953,12,15.6551518226158
ANM204878,6,beta2_23_30Hz,45,10144900000,10204900000,44.5,40.8808857594625,15,22.0151785676924
ANM204878,6,beta2_23_30Hz,46,10204900000,10264900000,45.5,48.5834342393612,13,16.0548551622986
ANM204878,6,beta2_23_30Hz,47,10264900000,10324900000,46.5,49.0578739193549,16,19.5687241069216
ANM204878,6,beta2_23_30Hz,48,10324900000,10384900000,47.5,43.3656115194298,14,19.3701868962148
ANM204878,6,beta2_23_30Hz,49,10384900000,10444900000,48.5,48.4506316793629,17,21.0523571034154
ANM204878,6,beta2_23_30Hz,50,10444900000,10504900000,49.5,43.1071027194332,14,19.4863478871967
ANM204878,6,beta2_23_30Hz,51,10504900000,10547000000,50.3508333333333,24.8989593596726,9,21.6876533753698
ANM212379,7,beta_13_30Hz,1,7202000000,7262000000,0.5,20.3147366423485,1,2.95352093686131
ANM212379,7,beta_13_30Hz,2,7262000000,7322000000,1.5,25.4321971229401,0,0
ANM212379,7,beta_13_30Hz,3,7322000000,7382000000,2.5,31.7225779236674,1,1.89139735567441
ANM212379,7,beta_13_30Hz,4,7382000000,7442000000,3.5,33.8798592039167,4,7.08385470422068
ANM212379,7,beta_13_30Hz,5,7442000000,7502000000,4.5,28.4308992032868,1,2.11037996269438
ANM212379,7,beta_13_30Hz,6,7502000000,7562000000,5.5,15.1871385617557,0,0
ANM212379,7,beta_13_30Hz,7,7562000000,7622000000,6.5,30.2201856034937,1,1.98542791190083
ANM212379,7,beta_13_30Hz,8,7622000000,7682000000,7.5,38.2187520044184,1,1.5699099749009
ANM212379,7,beta_13_30Hz,9,7682000000,7742000000,8.5,37.4047027243242,3,4.81222912869045
ANM212379,7,beta_13_30Hz,10,7742000000,7802000000,9.5,39.6887040045883,3,4.53529548304703
ANM212379,7,beta_13_30Hz,11,7802000000,7862000000,10.5,27.4789785631768,3,6.55046182252237
ANM212379,7,beta_13_30Hz,12,7862000000,7922000000,11.5,28.7461785633233,3,6.26170186772787
ANM212379,7,beta_13_30Hz,13,7922000000,7982000000,12.5,41.2458393647683,1,1.45469218044939
ANM212379,7,beta_13_30Hz,14,7982000000,8042000000,13.5,27.50736384318,1,2.18123409942374
ANM212379,7,beta_13_30Hz,15,8042000000,8102000000,14.5,26.3547187230468,1,2.27663215193152
ANM212379,7,beta_13_30Hz,16,8102000000,8162000000,15.5,30.431047683518,0,0
ANM212379,7,beta_13_30Hz,17,8162000000,8222000000,16.5,24.0271257627777,0,0
ANM212379,7,beta_13_30Hz,18,8222000000,8282000000,17.5,42.1977600048784,0,0
ANM212379,7,beta_13_30Hz,19,8282000000,8342000000,18.5,45.1690905652219,4,5.31336799118088
ANM212379,7,beta_13_30Hz,20,8342000000,8402000000,19.5,38.0535091243992,3,4.73018137201405
ANM212379,7,beta_13_30Hz,21,8402000000,8462000000,20.5,41.7628569648281,1,1.43668332007389
ANM212379,7,beta_13_30Hz,22,8462000000,8522000000,21.5,39.6400435245827,4,6.05448376592131
ANM212379,7,beta_13_30Hz,23,8522000000,8582000000,22.5,48.362434565591,1,1.24063233248991
ANM212379,7,beta_13_30Hz,24,8582000000,8642000000,23.5,38.1001420844046,3,4.72439183038319
ANM212379,7,beta_13_30Hz,25,8642000000,8702000000,24.5,37.5243264043381,0,0
ANM212379,7,beta_13_30Hz,26,8702000000,8762000000,25.5,46.9289779254253,3,3.83558321440619
ANM212379,7,beta_13_30Hz,27,8762000000,8822000000,26.5,36.1506816041793,1,1.65971974351553
ANM212379,7,beta_13_30Hz,28,8822000000,8882000000,27.5,27.3492172831618,0,0
ANM212379,7,beta_13_30Hz,29,8882000000,8942000000,28.5,32.2811596837319,1,1.85866928536142
ANM212379,7,beta_13_30Hz,30,8942000000,9002000000,29.5,31.8087475236773,0,0
ANM212379,7,beta_13_30Hz,31,9002000000,9062000000,30.5,29.5186636834126,0,0
ANM212379,7,beta_13_30Hz,32,9062000000,9122000000,31.5,29.6048332834225,3,6.08008828412462
ANM212379,7,beta_13_30Hz,33,9122000000,9182000000,32.5,12.2066841614112,1,4.91533976029929
ANM212379,7,beta_13_30Hz,34,9182000000,9242000000,33.5,52.2268876860378,4,4.59533413981628
ANM212379,7,beta_13_30Hz,35,9242000000,9302000000,34.5,34.704046084012,1,1.72890503472567
ANM212379,7,beta_13_30Hz,36,9302000000,9362000000,35.5,44.2029772851102,2,2.71474926283805
ANM212379,7,beta_13_30Hz,37,9362000000,9422000000,36.5,45.6790118452808,2,2.62702705580522
ANM212379,7,beta_13_30Hz,38,9422000000,9482000000,37.5,45.9446169653115,0,0
ANM212379,7,beta_13_30Hz,39,9482000000,9542000000,38.5,53.0683084861351,6,6.78370971809014
ANM212379,7,beta_13_30Hz,40,9542000000,9602000000,39.5,39.9076761646136,0,0
ANM212379,7,beta_13_30Hz,41,9602000000,9662000000,40.5,43.4213683250198,2,2.76361627072113
ANM212379,7,beta_13_30Hz,42,9662000000,9722000000,41.5,35.8577049641454,1,1.67328054207582
ANM212379,7,beta_13_30Hz,43,9722000000,9782000000,42.5,51.0134169658975,2,2.35232233277414
ANM212379,7,beta_13_30Hz,44,9782000000,9842000000,43.5,41.770967044829,4,5.74561751808211
ANM212379,7,beta_13_30Hz,45,9842000000,9902000000,44.5,41.4992793647976,1,1.44580823856175
ANM212379,7,beta_13_30Hz,46,9902000000,9962000000,45.5,41.7283891248241,3,4.31361008117417
ANM212379,7,beta_13_30Hz,47,9962000000,10022000000,46.5,47.5595366454982,5,6.30788315361766
ANM212379,7,beta_13_30Hz,48,10022000000,10082000000,47.5,32.4950630437567,0,0
ANM212379,7,beta_13_30Hz,49,10082000000,10142000000,48.5,36.9941299242768,6,9.73127360305225
ANM212379,7,beta_13_30Hz,50,10142000000,10202000000,49.5,35.4897100841029,1,1.69063088590504
ANM212379,7,beta_13_30Hz,51,10202000000,10262000000,50.5,45.0504806452081,2,2.66367857304457
ANM212379,7,beta_13_30Hz,52,10262000000,10322000000,51.5,51.8447001659936,4,4.6292099140622
ANM212379,7,beta_13_30Hz,53,10322000000,10382000000,52.5,31.3667481636262,4,7.65141476406888
ANM212379,7,beta_13_30Hz,54,10382000000,10442000000,53.5,41.8632192048397,0,0
ANM212379,7,beta_13_30Hz,55,10442000000,10502000000,54.5,34.3776153639743,0,0
ANM212379,7,beta_13_30Hz,56,10502000000,10562000000,55.5,34.469867523985,4,6.96260291203621
ANM212379,7,beta_13_30Hz,57,10562000000,10622000000,56.5,36.6159974442331,4,6.55451214637878
ANM212379,7,beta_13_30Hz,58,10622000000,10682000000,57.5,37.9156377643833,3,4.74738157165026
ANM212379,7,beta_13_30Hz,59,10682000000,10742000000,58.5,43.8917529650742,3,4.10099820217321
ANM212379,7,beta_13_30Hz,60,10742000000,10802000000,59.5,31.9385088036923,3,5.63582980991244
