eventSet,movementGroup,timeFromEventSec,meanEventBeta2EnvelopeZ,semEventBeta2EnvelopeZ,meanControlBeta2EnvelopeZ,semControlBeta2EnvelopeZ,nAnimals,nPairs
TierAC,SustainedImmobility,0.325,0.297454422016023,0.0887058952718707,0.155293908557189,0.101132763366232,5,257
TierAC,SustainedImmobility,0.375,0.250034214683034,0.058840394164905,0.153170560868795,0.0718216724226892,5,257
TierAC,SustainedImmobility,0.425,0.217674523161604,0.0477734400123856,0.200320400499668,0.0523294236979819,5,257
TierAC,SustainedImmobility,0.475,0.246680201004625,0.0390409701964269,0.223440675170618,0.0549608959197828,5,257
TierAC,SustainedImmobility,0.525,0.292072289615168,0.0266574907501865,0.196496906057041,0.0558288313922484,5,257
TierAC,SustainedImmobility,0.575,0.301052983862108,0.071224010342086,0.181761754936397,0.0669882842126057,5,257
TierAC,SustainedImmobility,0.625,0.264416080909852,0.11765423405159,0.241796106741628,0.07411668614141,5,257
TierAC,SustainedImmobility,0.675,0.195022718497651,0.152791585761347,0.276274233872688,0.0899937848994549,5,257
TierAC,SustainedImmobility,0.725,0.180874377588003,0.107276303915866,0.201296618855527,0.0774133460318216,5,257
TierAC,SustainedImmobility,0.775,0.184030265234438,0.0747418211090268,0.104651181086618,0.0823856842768903,5,257
TierAC,SustainedImmobility,0.825,0.211868090537204,0.104792035867366,0.092424538286931,0.0912106546739502,5,257
TierAC,SustainedImmobility,0.875,0.225518754073319,0.116306113042201,0.183116118306685,0.10158770592783,5,257
TierAC,SustainedImmobility,0.925,0.227859042449752,0.0646014531102961,0.209673108467344,0.0765819259456996,5,257
TierAC,SustainedImmobility,0.975,0.287544621772554,0.0484587838616845,0.112498719527668,0.0644477164973325,5,257
TierAC,SustainedImmobility,1.025,0.33562489427698,0.0645011988223414,0.0752743418651486,0.0905507593873272,5,257
TierAC,SustainedImmobility,1.075,0.423088088802881,0.0884089141397547,0.147497518162477,0.1044450300055,5,257
TierAC,SustainedImmobility,1.125,0.439507753205964,0.0712545197184636,0.262854676340538,0.0893233282762787,5,257
TierAC,SustainedImmobility,1.175,0.350382657975749,0.0481225294825128,0.32642594681952,0.11009758835736,5,257
TierAC,SustainedImmobility,1.225,0.232331183854844,0.0636719354926685,0.207945426713321,0.0702728762974431,5,257
TierAC,SustainedImmobility,1.275,0.169920790128554,0.0620030488766751,0.0836044159081046,0.0382961179363403,5,257
TierAC,SustainedImmobility,1.325,0.17823670296799,0.0348665093958825,0.114240077083226,0.0578329232627435,5,257
TierAC,SustainedImmobility,1.375,0.205242702982424,0.0559799803736569,0.222968228474421,0.106605989374097,5,257
TierAC,SustainedImmobility,1.425,0.227278997598229,0.0363048154352793,0.224014601795243,0.128181898620597,5,257
TierAC,SustainedImmobility,1.475,0.235871845324278,0.0239749249069873,0.127198051839752,0.122583939119511,5,257
TierAC,SustainedImmobility,1.525,0.186151593325282,0.0228497540725756,0.119607017203426,0.100270451855791,5,257
TierAC,SustainedImmobility,1.575,0.107525105281865,0.0401629306476783,0.196993302644683,0.0681965855866022,5,257
TierAC,SustainedImmobility,1.625,0.0984713117497054,0.0475959898888996,0.255972008526416,0.0537493265424356,5,257
TierAC,SustainedImmobility,1.675,0.157472153464516,0.0794685876771352,0.274862842040083,0.0727740104216551,5,257
TierAC,SustainedImmobility,1.725,0.177267608179869,0.0988692356224493,0.215232286315278,0.0491779324983732,5,257
TierAC,SustainedImmobility,1.775,0.193476164612497,0.106990409108939,0.0978370472797437,0.0607059016511414,5,257
TierAC,SustainedImmobility,1.825,0.239905062205518,0.0858536318032962,0.0581933216142581,0.0717398602404235,5,257
TierAC,SustainedImmobility,1.875,0.237960046698288,0.055136928207634,0.148257254970017,0.0702981704860857,5,257
TierAC,SustainedImmobility,1.925,0.217800807564534,0.0196316989220819,0.19531253885237,0.0662589126346447,5,257
TierAC,SustainedImmobility,1.975,0.235328891816763,0.0631573190321084,0.119354945324422,0.0699144509908903,5,257
